job_description,job_title
"RESPONSIBILITIES:Kforce has a client seeking a Test Engineer Mid-Level in Westford, Massachusetts (MA). This role will be required to develop and maintain an expertise on the products deployed within the Customers network. The Candidate should be well versed with networking fundamentals like TCP/IP, BGP, MPLS, VPN, Layer 2 to Layer 7 services such as NAT, firewall and virtualization technologies.Key Responsibilities: Develops test plans and test cases To participate in design and information gathering workshops with the Customer to understand the Customer's existing network design and technical requirements of new network designs Design test plans based on customer solution requirements To produce a written summary report of the status of Design projects, equipment and network problems on a regular basis to the Customer To hold technical meetings with the Customer to discuss equipment and network problems, and to provide case status updates, including the reasons for any problems encountered and the workarounds and/or solutions that are being triedREQUIREMENTS: BS degree or equivalent experience 5+ year experience in test laboratories for communications infrastructure Successful candidate will have experience with JUNOS preferably Strong customer facing skills Strong routing and switching background with strong routing protocol knowledge Certification's a plus Familiar with testing tools (Breaking Point, Ixia, Spirent, etc.), scripting and testing methodologies Technical product or solutions validation testing Technically experienced and accomplished with Large Scale IP Data Center & CDN networks, 3GPP Mobility Architectures (GGSN, EPC) Security background a plus Technical experienced and accomplished in Unix/Linux server, windows server, mass storage operation, and/or data center networking Experience with OSS/BSS scripting and/or operation Experienced in customer network design and customer network operation Knowledge of scripting and some level of software development Ability to work as a member of a multifunctional team Written and verbal communication skills Self-starter with ability to work independently Collaborative team player Experience supporting large Tier1 carrier network is highly desirable Able to lead testing efforts which could include regression test, scale testing, migration testing, certification testing and end to end solution testing Communicate effectively with customer, account team and other internal stakeholders on overall testing and project statusKforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.",QA Engineer
"Company Profile: Precision Castparts Corp. (PCC) is a leading worldwide, diversified manufacturer of complex metal components and products. It serves the aerospace, power, and general industrial markets. PCC is the market leader in manufacturing large, complex structural investment castings, airfoil castings, and forged components used in jet aircraft engines and industrial gas turbines. The Company is also a leading producer of highly engineered, critical fasteners for aerospace and other general industrial markets, manufactures extruded seamless pipe, fittings, forgings, and clad products for power generation and oil & gas applications, and supplies metal alloys and other materials to the casting and forging industries.  PCC is a high quality business with dominant positions in most segments of the markets in which it serves. The company has a history of superior earnings growth and was the fourth best performing stock in the S&P 500 during the last decade, up 1580%. Headquartered in Portland, Oregon, this over $10 billion publicly traded company (NYSE:  PCP) employs more than 29,500 people worldwide.  PCC has over 160 plants and has a presence in twenty-six states in the US and in over a dozen countries.  PCC is relentless in its dedication to being a high-quality, low-cost and on-time producer; delivering the highest value to its customers and shareholders while continually pursuing strategic, profitable growth. Effective early February 2016, Berkshire Hathaway, led by chairman and CEO Warren E. Buffet, acquired Precision Castparts Corp. Mr. Buffet stated, “I’ve admired PCC’s operation for a long time. For good reasons, it is the supplier of choice for the world’s aerospace industry, one of the largest sources of American exports. Berkshire’s Board of Directors is proud that PCC has joined Berkshire.” “We are very pleased to be joining forces with Berkshire Hathaway,” said Mark Donegan, PCC’s chairman and chief executive officer. “We see a unique alignment between Warren’s management and investment philosophy and how we manage PCC for the long-term.  We believe that as part of Berkshire Hathaway, PCC will be exceptionally well-positioned to support our customers’ needs into the future. This transaction offers compelling and immediate value for our shareholders, and allows PCC’s employees to continue to operate in the same manner that has generated many years of exceptional service and performance to our customers.”     Business Profile:  PCC Aerostructures is a leading supplier of complex components and assemblies to the global aerospace industry. PCC Aerostructures now includes more than 35 plants in the U.S, Europe and Asia with over 5500 employees and has ambitious growth plans. Businesses within PCC Aerostructures include Primus International, SPS Aerostructures, Centra, Avibank and AVK, Klune, ProCoat, Southwest United Industries, Noranco, Progressive Incorporated, Synchronous, and Kalistrut.  Plants locations include Washington, Utah, California, Oklahoma, Kansas, Texas, Ohio, Canada, Mexico, the UK and China.  Location Profile: Located in Wichita, Kansas Brittain Machine, located in Wichita, Kansas, is a unique manufacturing facility that meets the demanding requirements of major commercial and defense aircraft manufacturers, as well as multiple general-aviation companies. Our 185,000 square feet, climate controlled facility features dozens of precision and computer-numerically controlled machines, including multi-spindle 5-Axis gantry machines with capability of up to 200 feet for both hard and soft metals. Brittain's expertise is unsurpassed in the aerospace industry, complementing our facilities and extensive equipment are the professionals that make it happen. Through decades of experience our team knows how to deliver innovative solutions for complex challenges to meet our customers' evolving needs.  Part of Synchronous Aerospace Group, Brittain was acquired by PCC in November, 2012. ITAR Requirements: Must be U.S Citizen or permanent resident.  Our organization has a responsibility to comply with all applicable requirements set forth by International Traffic Arms Regulations (ITAR, 22 CFR 120-130). As such, this position may have access to ITAR controlled information and must meet eligibility requirements to work in the United States. Job Summary The Quality Engineer will report to the Director of Quality and provide direct support to immediate manufacturing Quality Assurance needs.  Develops, administers, and maintains AS9100 compliant internal audit system. Knowledgeable in AS9100 requirements.  Monitors and maintains Corrective & Preventive Actions system.  Hosts third party audits and has frequent contact with customers and regulatory personnel.  Responsibilities • Develop, coordinate, implement, update, monitor, and assure compliance with policies and procedures • Monitor policies and procedure’s effectiveness through teamwork and statistical methods • Collaborates cross-functionally to ensure quality standards are in place • Devises and implements methods and procedures for inspecting, testing, and evaluating the precision and accuracy of products and production equipment. • Conducts quality assurance tests • Performs statistical analysis to assess the cost of and determine the responsibility for products or materials that do not meet required standards and specifications • Audits quality systems for deficiency identification and correction • Ensures that corrective measures meet acceptable reliability standards and that documentation is compliant with requirements • Recommend improvements • May specialize in the areas of design, incoming material, production control, product evaluation and reliability, inventory control and/or research and development as they apply to product or process quality. • Support program and audit Corrective Action with root cause analysis, metrics, proposed solutions, and closure reporting • Serve as the point-of-contact for internal and external quality related issues • Support customer and 3rd party (i.e., AS9100) audits and provide audit reports as required • Instruct team members in product conformity practices • Familiarize and attain proficiency with Lean and continuous improvement methods and implementation • May occasionally perform special projects • Perform other duties as assigned Requirements • Knowledgeable of aerospace Customer and AS9100C requirements, Internal Audit practices • Knowledge of CATIA programming to create drawings SixSigma/Lean analysis and improvement methodologies and have the ability to work efficiently with various computer software (Word, Excel, PowerPoint, Visio, etc.) and ERP to perform necessary functions • Ability to interrogate Model Based Definition to define product criteria • Must be highly organized with proven ability to professionally and assertively follow up on actions to be completed by internal personnel at all levels to assure timely completion • Good understanding of common inspection measuring equipment including, but not limited to, surface plates, micrometers, height gages, radius gages, protractors, profilometers, bore gauges, and dial indicators.  • Knowledge of machining process is a plus. • Thorough understanding of MRP systems, broad knowledge of Quality-specific software • Good blueprint reading and manufacturing/inspection related math skills • Excellent verbal and written skills and an ability to work proactively in a teamwork environment • Attention to detail • Willingness to learn and, as required, support the training of others Required Experience • 2-5 years related manufacturing experience, with machine shop environment preferred  Level of Education • A Bachelor of Sciences in Engineering, Quality Assurance, or similar technical discipline Click Here To Applyhttps://precast.mua.hrdepartment.com/pm_module/cgi-bin/click.cgi?job_id=12250&site_id=35",QA Engineer
"QA Systems Test Engineer One of the world's leading broker dealers located in Parsippany, NJ is looking for someone to fill a full time, permanent QA Systems Test Engineer role. This exciting opportunity has a salary that can go up to approx. $115k, depending on current compensation and experience. Relocation assistance will not be available.As a QA Systems Test Engineer, you will be the main systems engineer for all major testing efforts at the firm and you will be leading the manual, systems, performance and load testing for various projects. To be considered for this role, you must have API testing experience, basic Linux/Unix experience and experience with trading applications (FX preferred).RequirementsQA experienceAPI testingLinux/Unix experienceExperience with trading applicationsPerformance & load testing experience If you are interested in this position, please email me directly with a copy of your resume to i.goetz at Huxley.com. If you are not interested, please refer anyone that would be a good fit, thank you!",Systems QA Engineer
"RESPONSIBILITIES:Kforce has a premiere client in Ann Arbor, MI that is looking for a Software Test Engineer to design, implement and execute automated test scripts. The Software Test Engineer will perform manual testing as needed and regularly communicate test progress and test results to key stakeholders.REQUIREMENTS: Bachelor's degree in Computer Science 2+ years of related experience Experience with Linux and windows server environmentsKforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.",QA Engineer
"Randstad is looking for a Test Engineer in Dallas Texas for a 4 month contract w/extension.The Lead Application Test Engineer is a hands-on analyst/engineering role that requires extensive knowledge of .NET software testing methodologies and tools.  Candidates must have experience with formal testing tools such as HP Quality Center, Quick Test Pro, etc. on ETL and .NET applications.The Lead Application Test Engineer will thoroughly test integrated .NET services and web applications in a complex Microsoft environment.  The position will require the candidate to understand system & solution designs and use that understanding to define suites of automated tests. The Lead Application Test Engineer will be responsible for designing and creating the automated tests, working within an automation framework, and will be responsible for executing and maintaining both automated and manual tests.  At times, the Application Test Engineer may be asked to determine what test automation tools would be most appropriate for the particular testing activities that are required.The Lead Application Test Engineer must have experience with testing data intensive processes. Job Requirements Work in an agile team to test features and functionality to ensure high quality delivery each sprint that conforms to user story acceptance criteriaResponsible for designing and building test cases to ensure a user story has met the defined acceptance criteriaWork closely with product design and product management to understand requirements and translate them to test plans for functional and automated testingAnalyze documents (e.g., design, requirements, architecture, diagrams, flowcharts) to obtain an understanding of the requirements of the test engagement and defining/creating the test strategy/methodology, test architecture, and master test plan/schedule (including defect projection).Develop and execute automated functional, regression and integration tests using industry standard test tools and custom scriptsAnalyzing test results and defects to substantiate the quality of the application/system; analyzing trends, severity, and characterization of defects identified by multiple test analysts; and tracking and providing reports of discovered defects.Be an advocate for the Agile and Scrum methodologyExperience using Balsimiq a plus",QA Engineer
"Report this job About the Job Do you like using start of the art technology? Do you want to make a difference? Do you have a passion to learn new things?? If so, read on! We are growing at an exponential rate and are currently looking for bright, motivated individuals to join our innovative tech team. We are a part of a publicly traded company with a fun, start-up company culture and are looking to expand each of our office locations. Each of our offices is located in major markets with cutting edge work spaces that will make you excited to go into the office every day! We are looking for highly driven Software QA Engineer with experience and who has a passion technology. If you love the autonomy of being able to build a business from the ground up, are interested in expanding into markets all across the U.S. AND have a desire and ability to deliver great work for our internal company - please read on!Top Reasons to Work with UsWork with an amazing team and the best tools money can buy. We have a fully team with dedicated project manger, product manager, usability experts, designers, Software QA, and other Sr. Engineers.Unlimited snacks, a 50+ flavored Coke machine and Starbucks coffee.What You Will Be Doing•Develop, maintain and execute test cases for manual testing and automation•Perform manual functional (gray box) testing of web applications•Design and execute performance tests•Determine if user stories and their acceptance criteria are well defined•Track and report defects using VersionOne and work with the team for resolution•Perform all aspects of testing – functional, load performance and coordinate with PM for user acceptance testing•Write and execute automated test scripts for web applications•Continually exploring new methods and tools, and taking the initiative to implementWhat You Need for this Position•Have a four-year degree from an accredited university/college•Have 2+ year of coding experience •Working knowledge of software testing processes and Agile SDLC•Good technical and analysis background•Exceptional attention to detail•Experience with open source automation frameworks such as WebDriver and SpecFlow•Strong knowledge in any of the OO languages (i.e. C#, Java)•Develop and execute automation using BDD or keywords framework•Know T-SQL•Must be self-starter and work effectively with minimal supervision•Experience working in a QA role on a cross-functional team in an Agile environment•Working with others collaboratively•Interested in being trained, coached and mentored to be a serious business person•Have common sense•Have an insatiable thirst to be successful, drive to be the best, and motivation to make it all happen•Have a fun personality and people generally like you (no seriously, be honest now)What's In It for You•Offer a competitive compensation package with bonus earning potential. •Offer unlimited training so that you can learn about the business from the best•Comprehensive benefits plan (Medical, Dental, Vision)•Flexible work environment; we don't micromanage since we hire bright people who don't need it or want it.•401(k) & stock options•Unlimited snacks, a 50+ flavored Coke machine and Starbucks coffee.Interested? Well, what are you waiting for? Hurry up and apply now so we can get the process rolling. We promise you'll hear from us within 24 hours. Report Previous Next {""Caption"":"""",""Images"":[{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/1.jpg"",""Title"":null,""Text"":null,""Caption"":null},{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/2.jpg"",""Title"":null,""Text"":null,""Caption"":null},{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/3.jpg"",""Title"":null,""Text"":null,""Caption"":null}]} ‹ › ×",QA Engineer
"RESPONSIBILITIES:Kforce has a client that is searching for a Software Engineer .NET for a full time position in Louisville, KY.Primary Responsibilities: Participate in requirements and design reviews to thoroughly understand business needs Work closely with a team of developers and key business staff on the design, development, and enhancement of new and existing systems Anticipate and resolve complex problems that impact software design Actively participate in all aspects of the SDLC for frond end and back end applications and services Assist in critical technical and design decisions during the development process Work on multiple projects simultaneously while maintaining focus on detail and providing regular status updates with client-facing teams as well as IT management Communicate with healthcare partners, software vendors, and internal departments Design, develop and debug code, databases, and stored procedures Document solutions by developing and maintaining documentation, flowcharts, layouts, diagrams, charts, code comments and clear code Keep software development skills up to date by studying state-of-the-art development tools and programming techniques, participating in educational opportunities, and reading professional publicationsREQUIREMENTS: Bachelor's degree in Computer Science, Information Technology, Electrical Engineering or other related field or equivalent relevant experience required Five or more years of experience as a .NET developer Ability to mentor and be mentored Ability to effectively communicate, both verbally and written Proficient ability to work under demanding time constraints and production goals, demonstrating good time management and organizational skills Ability to work a flexible schedule when needed Ability to work cooperatively and collaboratively in a team environment with developers, analysts, management, vendors, and customers All employees must pass a criminal background check, be eligible to participate in a state or federal healthcare program and pass a pre-employment drug screen Applicants must be eligible to work in the US without sponsorshipTools and Technology: Microsoft .NET framework (C# or VB.NET) 4+ NET Web Services Knowledge of relational databases, especially SQL ServerDesired: C# MVC 4+ Image manipulation WinForms, Windows services HTML5, CSS, and JavaScript Angular, Bootstrap VB6 Visual C++ SSIS Entity Framework Web, API, and WCF SQL Server 2012/2014 XML/XSL Experience designing SOA based applicationsWhat the client offers: 18 PTO days and 8 paid holidays per year 401(k) with company match after one year of service Health/vision/dental insurance with no waiting periodKforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.",.Net Developer
"RESPONSIBILITIES:Kforce has a client that is seeking a QA Engineer in Piscataway, New Jersey (NJ).Summary:The successful applicant will design and implement testing infrastructures by writing code to validate a large scale application deployment, partner with software developers to create/code test tools and implement automation concurrent with product development. In this role, the candidate will need to possess a broad view of the entire product deployment to ensure appropriate/efficient re-use of existing libraries, methods, classes, etc. in developing adequate automation tools and infrastructures.In addition, this person will have the following responsibilities: Participate in software code/design/requirements review processes and design and execute a comprehensive test strategy Collaborate with Software Development teams in maintaining consistency and testability Collaborate with Software Quality Assurance, System Engineering and Architecture, Program Management, and Software Development Teams in all aspects of the development lifecycle from early design feedback, functional automation, reliability, stress, performance, integration testing, through to supporting production issues Create, maintain, and execute test plans and test cases; analyze and report results, track defects, and participate in day to day QA support activitiesREQUIREMENTS: B.S. in Computer Science or equivalent with 3+ years of working experience Minimum of 3 years of experience working in teams employing Agile and/or hybrid SDLC methodologies with the ability to prioritize across multiple tasks/stories/sprints Experience in GUI test automation such as Selenium Experience in testing both GUI and backend components of a complex system Ability to translate business and regulatory requirements into unit and solution level test cases Experience developing tools for and working in a continuous improvement environment Experience with automation practices leveraging commercial collaborative tools Experience with public (i.e. JUnit, Selenium) and internally developed tools/products Knowledge and experience in the following languages and technologies: Java, SQL, JSON, HTML, JavaScript, Web Services, XML, CSS, Perl, Source Control and Configuration Management tools Strong written and verbal communications skills Strong time management skills with a history of meeting commitmentsAdditional Skills: Experience verifying carrier grade, highly available systems' performance for effectiveness, growth/scaling requirements, security, and compliance with regulatory mandates such as the FCC Knowledge on US Telecom Numbering and Number Portability requirements and systems is a plus Previous participation in a complete, ground-up product deployment Demonstrated experience of when to leverage existing solutions/tools versus when to design, innovate and author new automation solutions from scratch Knowledge of SDLC Management Tools a plusKforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.",QA Engineer
"RESPONSIBILITIES:Kforce has a client in Piscataway, New Jersey (NJ) who is need of a Quality Assurance Engineer to join their team.Responsibilities: Design and Develop load scripts using Vugen/Performance center, hand on experience with Vugen scripting, analysis and Load Runner Design and Development of Virtual modal for backend systems and maintenance Responsible for analyzing problems, developing solutions and making decisions that impact projects Completes assigned load and performance tasks on time (e.g., analysis/design, development, testing, maintenance, documentation, etc.) Designs software QA methods and procedures for use by QA and development staff to ensure all information systems meet minimum company standards and end user requirements Develop QA test plans and project staffing estimates Work closely with the other members of the Development Team and Marketing to review the designs of systems, implement test plans, and test the quality of software products Assemble and build software projects and installation packages Work closely with the Development team to insure the effectiveness and quality of the components and systems developed Work closely with the Documentation team to insure the content is meaningful and correct Communicate with customers regarding installation issues and software defects Developing and executing quality assurance test scripts, tests plans and check lists knowledge of Performance Testing tool like Loadrunner, Jmeter, Neoload and SOSTAREQUIREMENTS: BS in Computer Science, MIS, business or equivalent education/training/experience Telecom business knowledge Familiarly in HP performance testing using Performance Center, Selenium Hands on experience in entire performance testing life cycle with agile methodologies, skilled in performing load result analysis Scalability and stability stress tests, identify and help resolve performance bottle necks Deep understanding of virtualization (LISA, VM Ware, etc.) Hands on experience in Relational database queries (Oracle) Experience in application browser memory testing Hands on experience in mobile device performance testing Experience in Vugen Scripting using C, VB, Java & Java Scripting Knowledge Oracle, SQL, Xml API's, Web technologies, Quality Center Experience of UNIX servers - full awareness of OS and variety of commands, ability to read and test UNIX shell scripts Nice to have experience in Unix, QTP/UTP & Open Source tools e.g. Selenium & TestNG etc. Nice to have Experience in reporting tools / reports testing - Cognos Reports, advanced SQL usage Deep understanding and working knowledge of protocols like web HTTP/HTML, AJAX TruClient, mobile Protocols and CITRIXKforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.",QA Engineer
"Modis is seeking an Automation QA Engineer for a client of ours in Omaha, Nebraska. This person will need to have a strong ability to do automation testing with Coded UI and C# scripts. Also, they will need strong experience working with relational database systems such as MSSQL and a good working knowledge of SQL Requirements• 7+ years of testing experience• 3+ years of automation testing experience with Coded UI and C# scripts• 3+ years of experience with Microsoft Test Manager (MTM)• Strong SQL skills• Agile experience  This Automation QA Engineer job will not last long. Our client has an aggressive timeline and is looking to hire immediately.   To be considered, you must apply online now and submit your resume. We are actively monitoring all applications.  Apply below!  Thanks for partnering with Modis! ",QA Engineer
"DevOps EngineerSkills: 5+ years of Ruby on Rails development experience, strong experience with front end web development, Javascript, JQuery-Rails, Backbone.js, MySQL, Cucumber, Rspec, AWSPay: $100,000-$120,000 (depending on experience)Location: MidtownOur client is a highly innovative company in the transportation software industry who is growing immensely. We are looking for a strong, motivated individual to join a dynamic team to deploy to both Linux and Windows. We are searching for a DevOps Engineer who can provide configuration and change management, manage deployments and patches, and assist with networking/systems support when needed.Requirements:•             Experience with Ruby on Rails highly desired•             Configuration management experience using frameworks such as Chef or Puppet•             Understanding of LINUX and/or UBUNTU•             Windows Server support experience also preferred•             Deploying code for Ruby on Rails and Windows Binaries•             MySQL Database support required, SQL Server experience is a plus•             Experience with Git or Jenkins for software support•             Knowledge of cloud environments (AWS or Azure)•             Server hardening/security best practices is a plus Benefits/Perks:Flexible Work Schedule and Work From Home OptionsExcellent Medical, Dental, & Vision InsuranceRetirement/401K Plan and Life and Disability CoverageGreat Midtown location close to MARTAMarket Leading TechnologyGym on-site at new Midtown OfficeTeam Building activities",DevOps Engineer
"Offshore development t5+ years of Development experience tIntegration design on a global scale tRequirements gathering, good communication skills tSDLC methodologies tIntegration experience (cloud, on premise), ESBs (Enterprise Service Bus), APIs, etc.",Software Developer
"Report this job About the Job Award Winning cloud technology company in the Atlanta, GA area is seeking a Cloud and Security infrastructure Architect to join our growing team. This position will report directly to the VP of the company.We are a ""fast growth"" team, that has been in business over 20 years, and among other accolades, received significant funding to take our company to the next level. We have live/real product(s) and real clients! Our mission is developing a highly scalable and reliable cloud-computing architecture that powers and permits businesses to grow rapidly!What's In It for YouWe are willing to offer excellent compensation packages including a base salary, $120k-$160k, Bonuses, Medical, Stock options, and 401K in a very solution oriented work-environment. We also have a bunch of start-up style perks including game room and free lunches!Top Reasons to Work with UsStability with growth!You love .NET or can operate in a Microsoft environment.What You Need for this PositionBS, MS Computer Science or related discipline/experience5+ years of DevOps experienceExperience with AWS or Azure preferredNetworking infrastructure and performance testing expertiseExperience building large-scale server applications or distributed systems.What You Will Be Doing- Design, build, and deploy high performance, fault-tolerant, scalable back end servers for fast optimized web services- Leverage your knowledge and understanding to create innovative business solutions- Drive improvements in team productivity through tools, processes, test-driven development, and continuous refactoring- Take full ownership and responsibility for the success of your deliverables, from design through production deployment- Ability to work in a fast-changing environmentSo, if you are looking for a fast growth company, please apply.*** You can also email me directly at eric.shaner@cybercoders.com *** Find me on LinkedIn - www.linkedin.com/in/analytics Report Previous Next {""Caption"":"""",""Images"":[{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/1.jpg"",""Title"":null,""Text"":null,""Caption"":null},{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/2.jpg"",""Title"":null,""Text"":null,""Caption"":null},{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/3.jpg"",""Title"":null,""Text"":null,""Caption"":null}]} ‹ › ×",Senior DevOps Engineer
"Superior Group is looking for Web Developer for our Client located in Atlanta, GAThis web developer position will focus on the development, enhancement and operational support of online event websites built on the Black baud/Convio platform. The Client uses Black baud’s Luminate Online/Team Raiser platform to support thousands of fundraising events, including participant and team registration, digital fundraising, event reporting and communication. Act as the resident systems expert to successfully align business requirements with product and platform capabilities and limitations. Assist in product roadmap planning to ensure that Client needs are met through enhancements, patches, or upgrades. Ensure the event website data management systems and processes are documented and integrated with other CRM and reporting systems. Assist in managing of team of Digital Specialists responsible for site customizations and content development.Reports to Director, Online Event Support and Operations. Work with Online Event Revenue Directors in delivery of new e-Revenue strategic initiatives, help build solid strategies behind use of websites which will enhance end-user experience, and create/review web site project requirements with vendor to support these efforts.Consult with users and user groups to recommend solutions to business technology needs and requests.Participate in enhancement and upgrade projects including attendance at program management meetings, offering input on how Client currently and would utilize proposed featured, and assist in development as requested.Work with the Design & Digital Activation teams to ensure that new digital media desires match the Black baud product limitations and possibilities, and that product training is conducted to support any potential changes.Assist in the testing of system enhancements during product preview. Work with Technical Support Lead to identify bugs found during testing, and suggest possible fixes or workarounds where possible.Act as resident expert in special data integration projects and assist in development & testing as needed.Work with internal Client departments to brainstorm, map, and process requirements for new business objectives such as Single Sign-On (between Client Account & Black baud), open API integration, and Recurring Giving programs.Maintain an expert level of knowledge of current and emerging Black baud products and features.Ensure new product/initiative launches are functional across all Client online programs.Create all master program blueprints and ensure applicable settings, and coding is applied for proper use and fundraising/constituent data flow to applicable CRM and financial system channels.Conduct website validation through testing of page consistency; table and form consistency, page relationships, performance consistency, and response times.Support creation of - and issue resolution for website functionality and features, including reports and site driven email campaigns.Create and apply all default National content to blueprint to ensure brand standards and effective messaging.Configure event web properties, perform modifications, and site-wide content updates for existing pages, and guide eRevenue team, Event Website Support team and Digital Managers on web best-practices to maintain integrity of web site content. Ability to perform quality work well in a fast-paced, high-pressure environment with minimal supervision, and within defined deadlines.Ability to effectively manage several projects simultaneously and to prioritize appropriately.Strong time management skills and multi-tasking capabilities.Good communication skills.Clear and concise written skills - ability to clearly document and create “how-to” guides, process documents, and best practices to share with applicable parties.Ability to manage and work with remote staff to identify problems and initiate effective solutions.Knowledge of software packages such as Microsoft Office, Outlook, and Captivate.Strong project management skills with the ability to understand business needs, provide solutions to problems, set clear expectations and effectively work with a multi-disciplinary team.Ability to create and refine business processes to most efficiently and effectively deliver digital solutions.Strong interpersonal skills, with demonstrated verbal and written communications to maintain effective working relationships with all levels of project team including remote staff.Possess a “customer service” attitude to meet customer expectations per service level agreements. Required Skills / Qualifications:Bachelor Degree Minimum of 1 year experience in digital event experience with a focus on implementation and online event lifecycle operationsPreferred Skills / Qualifications:Computer Science preferredPrevious Black baud experience is strongly preferredPrior management experience preferred but not needed. Go Beyond. EEO Employer - Minorities / Females / Disabled / Veterans / Sexual Orientation / Gender Identity.",Web Developer
"Report this job About the Job If you are a Fullstack C# .Net Developer with experience, please read on!We are at the cutting edge of digital music and media, with our leading media distribution platform. We provide a music based service to our clients, who range from fortune 500 companies, to local based start ups. We are looking to grow our development team and bring on a new Fullstack C# .Net Developer to our family. We are looking for someone with atleast 2-5 years of real world experience with;- Object Oriented Design/Development - .Net development with C# - ASP.NET MVC and ASP.NET Web forms- HTML, JavaScript and CSS- .NET based Web services using WCF and ASMX- Relational database development - SQL Server experience a plus- Entity Framework If you fit these expectations, then we want to speak with you! Our ideal candidate will be a go-getter, and a risk-taker with a can-do attitude! If this is you and you are ready for a new career and not just another job, then WE WANT YOU! APPLY NOW!What You Need for this PositionAt Least 3 Years of experience and knowledge of:- C# .NET- ASP.NET MVC- ASP.NET Web Forms- JavaScript- Entity Framework- SQL Server- HTML- CSSSo, if you are a Fullstack C# .Net Developer with experience, please apply today! Report Previous Next {""Caption"":"""",""Images"":[{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/1.jpg"",""Title"":null,""Text"":null,""Caption"":null},{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/2.jpg"",""Title"":null,""Text"":null,""Caption"":null},{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/3.jpg"",""Title"":null,""Text"":null,""Caption"":null}]} ‹ › ×",C# .Net Developer
"Report this job About the Job ***CONTRACT POSITION FOR 3-5 MONTHS***This position is based in our Austin location and is a full-time, on-site position! We are an eCommerce company providing services for continued education and recertification courses in the insurance and risk management space. This position will be working directly with our marketing director to develop new web applications and upgrade our existing applications.What You Will Be Doing- Design, code and test new web applications.- Maintain and enhance multiple web sites simultaneously.- Design and create web services and API interfaces.What You Need for this Position- 3+ years of web development in .NET stack- C#/ASP.NET- VB.NET- HTML/CSS/JavaScript- SQL- Oracle*Previous eCommerce experience highly preferred*What's In It for You- Hourly Pay: $40/hr-$70/hr- Medical/Dental/Vision benefits after 30 days**So, if you are a Web Developer with experience, please apply today or email your resume to alec@cybercoders.com** Report Previous Next {""Caption"":"""",""Images"":[{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/1.jpg"",""Title"":null,""Text"":null,""Caption"":null},{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/2.jpg"",""Title"":null,""Text"":null,""Caption"":null},{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/3.jpg"",""Title"":null,""Text"":null,""Caption"":null}]} ‹ › ×",ASP .NET Developer
"Report this job About the Job If you are a Node.JS Developer with experience, please read on!What You Will Be DoingAs a developer you will evaluate new technologies while enhancing existing code, enhance existing platforms. We are big on developers building their own brands and believe we are the hottest team in town with open-source development…What You Need for this PositionAt Least 3 Years of experience and knowledge of:- Node.JS- Web Application Development- JavaScript- MongoDB- UnixWhat's In It for YouGain experience working for a fast growing company in the desired fieldYou get a really cool place to work!Compensation: $70,000+ DOE This is a fulltime positionSo, if you are a Node.JS Developer with experience, please apply today! Report Previous Next {""Caption"":"""",""Images"":[{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/1.jpg"",""Title"":null,""Text"":null,""Caption"":null},{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/2.jpg"",""Title"":null,""Text"":null,""Caption"":null},{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/3.jpg"",""Title"":null,""Text"":null,""Caption"":null}]} ‹ › ×",NodeJS Developer
